Crop,State,Season,Area,Rainfall,Temperature,Humidity,Soil pH,Nitrogen,Phosphorus,Potassium,Fertilizer,Yield
Pulses,Andhra Pradesh,Rabi,4.25,1052.3,26.5,77.0,6.43,181.2,34.6,147.6,132.0,1.81
Pulses,Haryana,Kharif,5.07,428.7,27.9,70.0,5.82,156.7,44.2,118.0,30.2,2.0
Pulses,Madhya Pradesh,Rabi,2.21,929.2,31.9,91.9,6.35,70.3,77.0,98.0,70.9,1.64
Pulses,Haryana,Kharif,1.03,705.1,27.0,53.8,5.43,147.5,62.4,90.8,134.5,1.8
Potato,Gujarat,Zaid,4.34,1118.7,24.1,62.2,6.22,215.2,28.9,105.4,145.2,23.71
Wheat,Maharashtra,Zaid,4.41,1272.9,23.3,78.0,5.34,112.6,56.4,139.9,271.8,3.92
Sugarcane,Karnataka,Zaid,1.01,1068.1,26.6,52.1,6.95,92.9,70.0,127.5,157.3,80.25
Wheat,Punjab,Rabi,4.76,1023.1,29.7,57.7,6.35,132.1,37.6,168.9,103.5,4.76
Wheat,Gujarat,Zaid,6.32,579.9,24.6,70.2,5.84,57.9,90.3,118.3,223.7,4.02
Groundnut,Tamil Nadu,Kharif,5.71,1224.7,26.8,60.8,7.15,75.9,72.1,86.3,86.6,2.95
Groundnut,Gujarat,Kharif,4.87,759.0,20.9,60.9,7.1,146.9,41.2,175.1,62.3,2.92
Rice,Madhya Pradesh,Rabi,5.58,1109.3,22.4,56.2,7.46,118.3,55.2,143.9,66.7,4.66
Pulses,Madhya Pradesh,Rabi,3.7,883.2,26.1,78.4,6.56,68.3,19.9,135.0,150.4,1.9
Rice,Andhra Pradesh,Rabi,6.51,554.8,24.2,68.3,6.15,70.3,45.8,116.9,83.4,4.33
Cotton,Madhya Pradesh,Zaid,11.59,1260.7,25.3,,5.95,78.1,19.0,80.4,175.4,2.38
Cotton,Andhra Pradesh,Zaid,9.02,1035.2,21.7,89.9,7.19,108.4,49.1,191.6,47.9,2.52
Wheat,Haryana,Kharif,6.64,931.9,34.1,87.5,5.87,141.3,72.3,115.8,87.3,4.79
Wheat,Gujarat,Zaid,1.97,,32.0,80.5,6.31,110.6,69.3,169.7,221.5,4.12
Rice,Punjab,Kharif,5.35,983.0,33.3,71.9,5.87,127.2,100.4,71.2,117.8,4.77
Cotton,Andhra Pradesh,Kharif,8.45,951.8,16.3,69.6,5.29,134.8,65.8,102.2,112.4,2.77
Rice,Madhya Pradesh,Rabi,3.7,899.1,31.0,57.8,7.28,211.4,53.5,152.9,126.5,4.84
Potato,Karnataka,Rabi,3.59,250.0,20.8,57.8,7.45,119.6,53.6,141.1,110.3,24.85
Pulses,Madhya Pradesh,Rabi,4.55,1101.0,25.2,77.1,7.34,82.0,66.0,97.9,81.8,1.6
Cotton,Andhra Pradesh,Kharif,10.55,1016.4,24.8,66.8,6.43,166.7,46.0,114.4,65.1,2.67
Pulses,Gujarat,Kharif,1.79,250.0,25.8,85.1,6.14,117.7,37.2,102.5,,1.57
Maize,Punjab,Zaid,1.29,1015.8,25.5,50.8,6.75,103.5,37.9,67.9,187.1,5.08
Maize,Madhya Pradesh,Kharif,5.68,1046.5,30.4,,6.75,89.1,27.8,94.4,128.7,5.02
Sugarcane,Gujarat,Rabi,4.1,1176.6,25.7,59.6,6.81,224.9,71.7,110.7,185.8,93.13
Maize,Punjab,Zaid,5.3,1336.4,19.2,75.8,6.93,169.3,44.0,85.5,135.8,5.29
Sugarcane,Maharashtra,Rabi,8.37,770.0,23.9,65.3,6.71,96.2,49.0,105.8,175.3,110.89
Groundnut,Maharashtra,Zaid,1.94,977.6,26.1,64.6,6.07,50.7,68.9,118.8,175.2,2.36
Pulses,Andhra Pradesh,Zaid,1.72,980.0,25.5,76.2,7.15,90.6,46.3,93.4,193.6,1.58
Wheat,Andhra Pradesh,Kharif,3.1,988.4,27.4,54.8,7.44,110.5,61.4,51.1,162.9,4.18
Maize,Punjab,Rabi,3.27,1270.1,28.1,30.0,7.94,150.4,48.1,154.1,111.9,5.18
Sugarcane,West Bengal,Zaid,7.11,1170.8,25.7,48.2,7.66,119.4,77.0,87.1,147.5,93.44
Potato,Haryana,Zaid,3.16,445.4,25.0,67.6,6.65,164.9,57.6,96.0,87.9,25.44
Sugarcane,Punjab,Zaid,7.67,650.3,18.2,81.6,5.44,150.2,42.8,87.2,131.0,94.56
Rice,Tamil Nadu,Kharif,1.51,362.1,17.1,57.4,6.9,157.7,65.6,190.5,221.8,4.46
Wheat,Tamil Nadu,Zaid,3.74,1007.6,24.8,76.9,7.31,117.1,62.0,100.9,121.0,4.18
Groundnut,West Bengal,Zaid,1.03,1153.1,30.1,76.1,6.45,67.7,36.3,98.9,203.4,2.51
Cotton,Gujarat,Kharif,10.86,250.0,27.0,58.8,5.8,114.7,47.0,55.9,95.6,2.52
Cotton,Punjab,Rabi,11.48,837.7,19.0,48.0,7.55,71.2,85.2,174.0,151.9,2.95
Cotton,Madhya Pradesh,Rabi,5.36,942.5,28.6,77.7,7.47,134.6,62.3,57.3,189.5,2.53
Maize,Haryana,Zaid,1.8,669.1,33.6,62.2,8.2,141.9,31.3,73.5,211.8,4.76
Cotton,Andhra Pradesh,Kharif,5.78,1076.2,37.7,90.9,6.78,133.6,76.7,101.9,90.3,2.65
Maize,Andhra Pradesh,Kharif,3.49,975.6,32.0,53.2,6.4,58.6,50.4,30.0,39.5,4.98
Cotton,Gujarat,Kharif,11.28,639.4,26.8,57.1,5.6,136.9,61.8,121.1,138.6,2.45
Rice,Punjab,Kharif,7.16,1358.1,33.0,61.5,6.14,172.6,46.5,72.9,55.0,5.03
Sugarcane,Maharashtra,Kharif,3.73,1116.8,25.1,56.3,6.16,172.1,74.7,119.6,33.1,107.42
Rice,Punjab,Rabi,2.66,877.3,25.5,67.4,6.19,138.9,55.3,95.7,38.0,5.06
Wheat,Tamil Nadu,Zaid,3.15,1254.7,29.3,73.1,6.43,82.6,,69.8,149.4,3.67
Potato,Madhya Pradesh,Rabi,3.49,903.7,28.3,34.4,6.74,67.2,33.0,101.5,97.9,24.44
Maize,Tamil Nadu,Kharif,5.53,923.9,31.8,72.7,5.97,216.5,55.6,97.8,76.8,4.71
Wheat,West Bengal,Zaid,6.57,680.2,31.0,49.8,6.6,150.2,52.6,90.8,202.0,4.04
Wheat,Punjab,Zaid,6.53,921.3,23.1,63.6,5.57,88.5,57.0,156.9,231.8,4.49
Rice,Andhra Pradesh,Kharif,2.98,1076.4,24.1,68.4,7.09,160.4,47.5,100.4,229.5,4.7
Maize,Haryana,Kharif,6.2,764.4,25.6,67.4,7.82,146.4,57.3,122.9,181.5,5.51
Pulses,Tamil Nadu,Kharif,5.97,752.4,33.1,58.3,6.32,93.9,78.5,82.8,109.6,1.78
Maize,Madhya Pradesh,Rabi,6.16,695.6,26.9,81.8,6.47,46.8,62.3,82.9,66.6,4.68
Groundnut,Andhra Pradesh,Kharif,4.52,916.9,26.4,50.7,6.66,106.3,25.3,141.2,50.3,3.24
Pulses,Haryana,Kharif,5.39,760.1,23.4,68.4,6.07,122.5,84.8,132.1,149.4,1.99
Cotton,Tamil Nadu,Rabi,8.89,648.4,22.6,77.7,6.61,127.9,23.2,97.6,151.9,2.63
Sugarcane,Uttar Pradesh,Zaid,3.87,1044.6,21.6,61.6,6.65,181.2,42.5,124.5,210.2,94.68
Wheat,Madhya Pradesh,Rabi,7.76,949.8,20.1,44.3,6.76,169.6,39.7,108.5,51.1,4.16
Sugarcane,Uttar Pradesh,Rabi,7.78,1149.6,22.4,83.4,6.45,162.9,76.9,98.0,224.5,108.94
Groundnut,Gujarat,Zaid,4.87,797.3,24.8,61.8,6.3,120.3,50.9,45.3,176.5,2.55
Potato,Madhya Pradesh,Kharif,1.63,852.1,27.6,77.4,7.51,213.7,46.8,133.0,121.2,29.71
Groundnut,Gujarat,Rabi,1.63,824.7,34.0,54.9,7.24,137.6,36.8,97.1,83.3,2.6
Groundnut,Karnataka,Kharif,4.66,695.1,21.0,64.7,5.88,135.3,17.4,60.6,142.6,2.82
Potato,Gujarat,Rabi,1.37,390.9,26.5,72.4,6.78,113.4,41.5,89.3,147.6,26.52
Potato,Tamil Nadu,Rabi,4.67,1246.9,24.9,54.5,6.77,79.7,82.2,104.9,161.7,27.06
Maize,West Bengal,Rabi,3.03,536.1,23.2,82.4,5.97,213.1,52.2,78.8,157.3,4.55
Wheat,Tamil Nadu,Kharif,5.35,426.9,24.2,68.1,5.79,95.7,60.0,83.6,204.4,4.16
Sugarcane,Haryana,Zaid,1.41,747.2,25.1,73.2,6.68,117.5,50.8,39.7,152.9,99.47
Sugarcane,Maharashtra,Rabi,2.69,701.7,33.1,64.1,7.06,107.6,28.3,83.0,82.3,87.6
Sugarcane,Tamil Nadu,Zaid,1.98,668.3,23.5,86.9,6.53,111.3,60.9,97.8,126.5,82.22
Sugarcane,Uttar Pradesh,Kharif,6.9,912.9,29.3,62.9,6.4,87.2,33.7,122.1,117.0,95.79
Rice,West Bengal,Kharif,1.78,752.6,19.7,81.0,6.89,197.3,71.1,76.9,67.4,4.23
Pulses,Maharashtra,Kharif,2.43,669.9,25.8,55.5,6.25,140.1,48.3,151.9,114.1,1.87
Cotton,Karnataka,Kharif,7.16,825.8,26.5,81.1,6.21,174.3,52.4,30.0,300.0,2.69
Potato,Gujarat,Rabi,2.48,920.8,23.4,68.9,8.08,137.9,62.8,50.2,203.5,25.68
Groundnut,Madhya Pradesh,Kharif,3.6,367.0,19.1,39.7,8.03,119.1,57.3,96.7,67.9,2.65
Groundnut,Tamil Nadu,Zaid,3.64,1309.4,28.9,62.1,5.94,68.4,60.6,162.1,142.3,2.52
Pulses,Andhra Pradesh,Rabi,4.01,401.8,28.1,57.0,6.66,135.0,58.7,116.3,143.4,1.7
Groundnut,Andhra Pradesh,Kharif,4.03,684.9,28.4,95.0,6.03,61.7,57.5,98.8,170.3,2.89
Cotton,Andhra Pradesh,Kharif,10.08,534.8,36.8,36.2,6.4,150.3,80.1,30.0,134.0,2.59
Wheat,Punjab,Zaid,8.41,663.0,23.9,63.7,7.75,70.5,53.7,142.3,178.4,4.12
Cotton,Tamil Nadu,Rabi,8.18,490.4,28.8,83.2,6.76,179.6,69.9,113.3,104.4,2.39
Pulses,Punjab,Rabi,6.81,1469.0,28.7,84.4,6.7,65.9,99.4,128.6,151.4,2.02
Rice,Punjab,Zaid,3.4,613.1,29.6,82.7,8.2,68.7,35.4,104.5,76.9,4.14
Rice,Uttar Pradesh,Kharif,5.66,758.1,21.8,83.8,6.53,160.2,79.1,131.2,174.0,5.1
Maize,Punjab,Rabi,1.54,697.4,26.2,65.8,6.08,136.2,76.5,109.5,157.9,5.9
Potato,Gujarat,Zaid,2.31,1290.9,21.9,66.8,6.66,136.6,45.4,68.1,75.0,22.85
Pulses,Punjab,Zaid,6.38,1172.8,26.6,57.0,7.29,158.6,78.1,94.0,186.6,1.94
Pulses,Maharashtra,Kharif,2.47,,31.8,57.1,5.7,82.8,50.2,32.1,128.7,1.58
Groundnut,Tamil Nadu,Kharif,2.65,512.8,23.5,73.3,6.81,183.9,56.9,32.1,93.3,2.84
Rice,Gujarat,Zaid,7.2,595.0,37.0,60.1,6.13,118.1,62.2,82.9,85.5,4.47
Maize,West Bengal,Zaid,2.01,1006.5,27.2,70.7,5.79,183.6,84.0,88.2,178.4,4.92
Sugarcane,Haryana,Kharif,7.29,878.8,30.3,63.7,7.35,153.0,68.7,85.9,215.3,100.36
Wheat,Karnataka,Zaid,1.37,1306.4,28.1,63.1,5.7,129.6,81.3,133.7,244.3,4.02
Potato,Haryana,Rabi,2.84,603.0,35.0,67.8,5.88,185.2,40.5,119.7,200.3,27.98
Pulses,Maharashtra,Zaid,3.89,275.8,24.4,84.3,5.43,,34.6,74.3,193.7,1.55
Wheat,Andhra Pradesh,Kharif,8.96,808.1,32.8,58.8,6.99,162.3,90.2,135.4,97.6,4.63
Sugarcane,Andhra Pradesh,Rabi,7.58,697.5,28.8,77.0,5.78,128.3,37.0,86.2,196.7,100.8
Pulses,Tamil Nadu,Rabi,2.1,1195.1,25.9,84.5,6.43,100.1,,214.5,224.5,1.89
Sugarcane,Uttar Pradesh,Zaid,8.74,1092.4,17.0,35.2,6.51,159.9,93.4,115.0,130.6,98.97
Rice,Punjab,Zaid,5.66,693.0,21.1,71.3,6.32,130.0,43.7,67.1,152.2,4.96
Cotton,Tamil Nadu,Kharif,11.13,1017.0,16.5,61.4,8.04,102.6,29.3,137.0,97.8,2.53
Groundnut,Punjab,Rabi,5.49,991.4,21.8,67.9,6.56,143.2,61.8,103.1,174.3,2.98
Rice,Gujarat,Rabi,1.64,595.9,20.2,77.0,7.58,153.8,61.7,67.5,126.9,4.16
Pulses,Uttar Pradesh,Rabi,2.98,961.3,27.1,,7.17,107.8,68.0,94.9,162.5,1.71
Pulses,Karnataka,Kharif,2.17,342.0,31.6,82.7,7.4,166.4,61.6,89.0,89.4,1.72
Cotton,Madhya Pradesh,Zaid,10.49,720.8,24.5,55.5,7.63,148.8,61.4,101.8,142.2,2.31
Pulses,Andhra Pradesh,Rabi,4.37,1018.3,24.8,64.2,6.2,138.4,58.9,108.8,26.2,1.68
Maize,Andhra Pradesh,Rabi,5.59,497.7,17.6,57.7,6.9,191.9,41.0,111.2,160.0,4.97
Sugarcane,Punjab,Zaid,5.44,936.6,25.3,77.2,5.91,101.7,59.1,127.7,151.3,103.31
Rice,Karnataka,Kharif,3.59,884.1,31.0,75.2,5.57,142.6,27.6,100.8,234.3,4.72
Cotton,Madhya Pradesh,Zaid,6.75,881.4,21.2,59.3,6.44,144.3,72.5,48.2,141.6,2.43
Cotton,Maharashtra,Zaid,8.49,521.0,28.1,85.1,8.15,166.2,29.8,72.4,62.8,2.08
Potato,Uttar Pradesh,Rabi,3.59,503.7,28.4,52.1,6.1,85.8,103.4,119.7,133.5,27.61
Wheat,Gujarat,Rabi,5.24,544.5,28.7,69.1,6.35,129.4,68.1,91.8,204.2,4.41
Potato,Gujarat,Zaid,3.34,986.6,29.1,72.4,6.79,104.2,41.4,89.8,20.0,24.42
Sugarcane,Andhra Pradesh,Zaid,8.25,1164.1,24.6,95.0,7.17,130.6,33.6,94.0,108.2,82.4
Sugarcane,Uttar Pradesh,Kharif,6.2,1326.7,25.1,62.8,7.51,170.5,57.4,73.5,149.6,103.14
Maize,Madhya Pradesh,Kharif,2.58,1160.0,23.9,53.7,7.82,113.4,52.1,54.5,159.9,4.56
Rice,Gujarat,Kharif,1.66,250.0,30.9,71.7,6.0,126.3,46.6,122.5,180.8,4.3
Cotton,Madhya Pradesh,Kharif,9.61,444.9,32.6,48.0,7.04,229.0,34.5,120.9,181.8,2.69
Rice,Karnataka,Kharif,5.52,293.8,40.0,87.3,6.31,87.0,67.1,97.6,211.8,4.25
Wheat,Tamil Nadu,Rabi,1.21,1138.4,29.5,43.3,6.74,125.8,88.2,129.4,120.2,4.28
Wheat,Uttar Pradesh,Zaid,6.58,689.7,17.9,72.4,7.06,129.9,30.0,64.1,203.7,4.2
Maize,Madhya Pradesh,Zaid,1.47,897.3,24.7,56.2,7.12,137.8,53.4,110.0,143.2,4.62
Potato,Tamil Nadu,Zaid,4.64,690.1,21.7,49.5,4.8,106.5,56.8,142.9,72.9,20.69
Wheat,Karnataka,Zaid,7.62,939.7,27.4,52.6,6.82,121.7,70.7,84.0,177.0,3.96
Wheat,Uttar Pradesh,Zaid,9.92,582.5,27.2,83.1,6.57,124.4,68.0,79.0,,4.24
Pulses,Uttar Pradesh,Rabi,3.95,333.4,28.3,64.4,5.88,179.8,59.8,126.5,167.6,1.79
Potato,Punjab,Zaid,3.09,1025.7,15.0,70.2,6.35,152.4,54.3,118.0,106.7,27.1
Cotton,Andhra Pradesh,Rabi,5.17,974.6,31.9,83.7,6.89,186.6,78.3,157.0,191.2,2.71
Potato,Tamil Nadu,Kharif,4.66,1069.5,25.9,69.0,5.81,184.6,74.0,127.6,126.6,28.98
Cotton,Tamil Nadu,Kharif,2.06,613.7,28.5,62.4,7.65,151.9,78.2,89.9,48.9,2.62
Groundnut,Haryana,Kharif,3.53,795.7,37.1,60.7,7.23,99.1,43.0,129.2,209.6,3.03
Wheat,Haryana,Rabi,5.64,1255.6,26.8,46.8,8.2,173.7,78.3,80.9,187.3,4.86
Rice,Uttar Pradesh,Rabi,6.18,736.6,39.2,66.5,6.88,107.7,80.3,90.1,147.7,4.59
Potato,Andhra Pradesh,Rabi,3.94,1435.2,35.9,64.6,7.15,112.9,66.9,88.2,203.0,27.51
Potato,Maharashtra,Zaid,3.51,1010.4,30.4,63.9,7.7,55.0,21.0,89.0,189.2,23.13
Wheat,Tamil Nadu,Rabi,9.89,745.8,24.1,88.0,6.15,60.8,52.9,68.8,122.5,4.1
Potato,Andhra Pradesh,Zaid,1.93,1035.0,22.0,69.4,8.2,122.1,80.1,112.6,140.8,23.5
Wheat,Haryana,Kharif,7.85,250.4,27.5,71.0,5.98,88.5,46.6,78.4,220.9,4.59
Potato,Gujarat,Rabi,2.66,568.4,24.2,61.9,7.61,112.9,49.3,87.0,184.2,29.54
Maize,West Bengal,Zaid,3.41,1244.8,26.6,61.5,7.19,173.8,60.1,54.1,195.7,4.59
Maize,Punjab,Kharif,1.99,455.3,23.7,65.1,8.2,120.5,62.5,65.1,130.3,5.87
Wheat,Uttar Pradesh,Zaid,2.14,1312.1,31.5,70.3,5.86,108.1,88.3,98.9,105.1,3.86
Sugarcane,Karnataka,Kharif,5.17,1261.4,23.3,70.2,5.78,69.6,60.9,107.2,136.3,93.49
Sugarcane,Maharashtra,Rabi,5.16,1216.3,29.8,65.8,8.2,53.6,15.0,94.0,188.1,88.55
Potato,Madhya Pradesh,Kharif,2.92,918.1,26.8,69.0,8.04,121.8,108.2,102.5,155.6,27.12
Cotton,Gujarat,Rabi,2.32,1401.7,24.8,66.4,7.76,111.4,,137.2,26.9,2.41
Groundnut,Gujarat,Rabi,4.6,926.3,,88.8,6.8,152.0,34.9,85.0,162.5,2.8
Maize,Madhya Pradesh,Rabi,1.63,1252.1,32.1,73.7,6.83,51.0,46.7,103.0,135.7,5.05
Pulses,Gujarat,Kharif,4.56,806.1,29.2,81.2,6.73,123.6,74.6,117.3,147.9,1.82
Maize,West Bengal,Zaid,5.0,1219.1,23.4,48.1,6.3,147.6,21.6,74.4,215.6,4.91
Potato,West Bengal,Rabi,1.03,1060.2,23.6,58.0,7.08,129.5,59.4,141.3,140.8,29.74
Groundnut,Uttar Pradesh,Zaid,4.9,791.5,28.3,61.8,7.1,177.3,57.5,48.2,146.9,2.61
Sugarcane,Karnataka,Rabi,4.15,602.8,33.2,84.8,7.67,97.2,15.0,43.0,181.0,87.71
Maize,Gujarat,Kharif,6.14,1033.8,24.0,77.9,6.84,93.0,47.7,31.2,79.8,4.51
Pulses,Uttar Pradesh,Kharif,1.8,666.7,23.7,66.1,7.21,101.4,64.4,105.2,67.0,1.84
Pulses,West Bengal,Zaid,2.37,308.6,22.9,58.7,6.13,113.5,15.0,97.1,133.3,1.59
Potato,Maharashtra,Kharif,3.96,331.9,25.2,62.7,6.22,133.3,54.4,112.8,122.2,26.43
Sugarcane,Andhra Pradesh,Rabi,7.69,988.0,29.5,95.0,7.01,181.5,56.4,83.0,85.7,112.2
Pulses,West Bengal,Kharif,1.83,845.1,26.7,93.0,6.42,123.1,75.6,114.2,217.1,1.83
Rice,Tamil Nadu,Zaid,5.71,250.0,16.6,67.9,6.66,168.0,55.2,87.6,121.3,3.74
Groundnut,Gujarat,Rabi,1.49,1211.8,20.7,47.6,6.77,106.5,65.2,79.2,88.6,2.6
Potato,Karnataka,Kharif,4.35,827.7,32.1,65.0,7.1,109.7,76.3,165.4,212.5,25.4
Wheat,Madhya Pradesh,Kharif,7.56,642.0,25.7,87.4,6.83,111.5,48.5,97.7,159.0,4.83
Sugarcane,Tamil Nadu,Zaid,5.21,746.2,24.8,64.6,6.95,129.3,34.9,,108.8,77.13
Groundnut,Tamil Nadu,Kharif,5.84,649.7,34.3,67.2,6.03,109.9,92.4,128.7,117.0,3.05
Cotton,Gujarat,Zaid,4.56,592.2,25.5,67.5,7.35,122.1,53.3,162.6,118.9,2.07
Potato,Tamil Nadu,Zaid,3.57,344.3,30.0,69.5,7.47,108.0,42.9,69.2,178.3,22.29
Maize,Punjab,Rabi,3.04,628.7,25.5,55.7,7.09,124.7,39.0,150.1,77.2,5.56
Cotton,Tamil Nadu,Kharif,11.87,732.8,27.0,68.9,6.59,119.9,32.6,82.1,156.9,2.59
Wheat,Tamil Nadu,Zaid,7.28,1065.6,29.6,72.4,6.32,117.0,39.0,122.7,,4.77
Rice,Tamil Nadu,Rabi,1.26,851.5,29.3,65.1,7.14,136.4,48.9,104.1,96.5,4.52
Potato,Andhra Pradesh,Zaid,4.03,976.5,29.3,72.7,7.09,113.3,90.2,117.8,153.5,
Sugarcane,West Bengal,Zaid,8.08,1155.4,18.7,67.5,7.51,69.3,47.9,100.8,117.3,91.74
Wheat,Punjab,Rabi,1.64,902.4,26.5,57.4,7.19,150.8,50.8,122.7,198.8,5.13
Rice,Uttar Pradesh,Rabi,5.32,530.5,31.8,58.5,6.89,77.3,52.0,103.5,211.7,4.59
Pulses,Punjab,Kharif,6.42,762.0,27.3,73.2,7.53,119.6,41.2,119.2,219.3,2.08
Groundnut,Madhya Pradesh,Zaid,2.55,815.0,23.2,69.0,7.58,116.3,42.2,78.1,120.1,2.59
Rice,Gujarat,Rabi,1.63,1212.8,24.4,56.4,7.94,80.0,73.1,30.0,25.5,4.07
Sugarcane,Haryana,Zaid,4.11,497.2,40.0,56.3,6.94,199.7,66.7,58.8,93.9,77.08
Wheat,Andhra Pradesh,Rabi,5.85,956.7,33.0,83.1,7.39,197.6,55.7,146.7,199.1,4.3
Maize,Madhya Pradesh,Kharif,5.86,1104.7,31.8,67.8,6.35,70.4,60.4,108.7,134.1,5.33
Sugarcane,Maharashtra,Kharif,1.48,1335.7,29.3,74.1,6.92,76.2,32.7,126.1,149.5,104.49
Wheat,Gujarat,Rabi,7.74,1336.3,31.1,52.3,6.64,111.9,45.7,113.5,178.6,4.23
Maize,Uttar Pradesh,Rabi,1.26,1192.2,29.2,68.5,7.39,145.4,54.6,99.0,129.9,5.27
Wheat,Madhya Pradesh,Rabi,5.05,548.0,27.6,65.0,7.85,155.9,53.8,95.2,202.5,4.04
Pulses,Karnataka,Zaid,3.73,828.9,21.4,62.5,6.14,119.0,57.6,148.0,221.2,1.54
Pulses,Haryana,Kharif,2.02,872.8,25.0,71.9,5.4,110.0,52.4,111.8,95.9,1.92
Potato,Haryana,Rabi,4.52,645.4,25.3,48.2,5.94,169.3,33.3,43.1,51.7,26.48
Rice,Gujarat,Rabi,7.59,702.3,34.0,63.7,6.57,114.5,52.1,130.7,99.5,4.56
Cotton,Madhya Pradesh,Zaid,10.02,1139.7,23.2,63.5,8.02,158.8,48.9,52.7,165.3,2.29
Sugarcane,Tamil Nadu,Rabi,2.29,1140.2,29.5,74.6,6.62,97.3,60.5,133.4,145.0,103.37
Maize,West Bengal,Zaid,2.48,373.5,27.5,77.1,7.24,122.7,48.0,82.1,128.8,4.64
Groundnut,Uttar Pradesh,Kharif,4.75,293.6,30.3,79.6,6.19,186.6,57.4,71.0,134.5,2.83
Pulses,Maharashtra,Kharif,4.74,692.1,23.3,67.6,7.59,125.0,94.6,105.5,134.1,1.74
Maize,Gujarat,Zaid,4.18,609.9,22.4,67.2,7.64,134.8,83.9,118.1,110.5,4.34
Cotton,Karnataka,Zaid,7.64,439.8,24.3,70.0,7.55,125.1,32.5,130.7,20.0,2.26
Sugarcane,Punjab,Rabi,3.94,716.3,34.2,69.9,6.69,153.4,54.2,96.7,161.3,103.17
Sugarcane,Tamil Nadu,Rabi,8.15,776.1,23.0,74.6,8.2,160.4,71.2,134.4,174.3,98.36
Pulses,Punjab,Rabi,3.56,1009.7,20.2,66.3,6.51,162.6,44.8,91.6,252.4,2.0
Groundnut,Maharashtra,Kharif,1.08,1488.3,21.3,66.9,7.25,111.5,60.9,98.5,66.9,2.56
Rice,Haryana,Zaid,5.23,1126.0,32.6,83.7,6.2,50.2,90.5,118.9,161.3,4.33
Maize,Haryana,Rabi,5.0,811.5,28.1,69.4,7.53,189.3,81.5,181.7,195.3,5.85
Wheat,Punjab,Zaid,5.59,538.2,21.5,74.2,6.43,53.4,74.3,96.2,121.4,3.91
Sugarcane,Punjab,Zaid,3.58,981.6,27.6,76.6,6.97,117.2,36.5,105.6,20.0,92.36
Potato,Uttar Pradesh,Kharif,4.95,904.5,26.5,,5.45,221.0,59.2,148.8,205.7,31.22
Wheat,Karnataka,Rabi,9.94,1028.2,27.2,78.0,6.3,120.3,61.4,144.6,132.8,
Sugarcane,Maharashtra,Kharif,2.97,937.4,22.7,66.1,5.75,149.3,53.1,114.8,109.1,97.25
Maize,Uttar Pradesh,Kharif,2.0,1106.8,23.1,67.3,6.32,107.4,45.0,98.8,193.5,5.09
Maize,Maharashtra,Zaid,2.25,1072.0,30.6,73.5,7.32,122.6,40.6,94.2,188.6,3.93
Sugarcane,Haryana,Zaid,7.41,895.5,27.1,54.8,6.7,189.8,58.7,100.1,127.7,99.68
Groundnut,Punjab,Kharif,1.45,611.8,23.8,61.6,6.45,167.7,71.7,128.2,132.5,3.15
Rice,Gujarat,Zaid,7.67,1309.2,28.3,61.7,6.43,103.8,56.0,110.2,218.9,4.35
Wheat,Madhya Pradesh,Zaid,3.07,472.7,27.9,58.2,5.74,113.8,15.0,123.5,198.8,3.5
Rice,Punjab,Zaid,4.46,793.1,29.6,81.3,5.95,148.4,55.7,92.8,224.4,4.74
Groundnut,Karnataka,Rabi,2.74,1148.5,34.0,79.6,8.09,40.0,24.0,157.5,,2.61
Potato,West Bengal,Rabi,2.75,1194.9,33.2,63.2,6.87,62.4,72.4,119.1,109.1,29.56
Groundnut,Madhya Pradesh,Rabi,1.9,1091.2,23.3,95.0,6.45,144.2,39.8,79.7,136.9,2.76
Rice,Uttar Pradesh,Rabi,1.3,997.4,20.5,42.4,5.88,141.2,76.8,77.0,173.5,4.64
Maize,Andhra Pradesh,Zaid,5.64,613.8,31.2,78.2,6.71,141.0,15.0,96.4,137.7,4.25
Groundnut,Andhra Pradesh,Kharif,4.11,838.1,27.8,49.8,6.72,91.0,32.9,68.2,160.5,2.75
Groundnut,Punjab,Kharif,5.7,1353.1,29.5,84.4,6.88,151.9,32.6,84.1,130.3,3.32
Sugarcane,Madhya Pradesh,Zaid,4.28,657.0,23.2,52.9,7.3,172.5,55.5,153.0,54.5,82.19
Maize,West Bengal,Kharif,4.07,1203.2,25.0,62.7,5.97,156.9,,139.8,207.3,5.3
Maize,Punjab,Zaid,1.79,1284.1,29.8,49.2,,89.2,57.7,145.4,113.0,4.81
Groundnut,Karnataka,Kharif,3.27,1383.5,18.3,95.0,6.64,102.0,32.3,88.7,26.2,2.54
Maize,West Bengal,Rabi,4.77,1024.0,24.8,61.2,6.47,143.9,61.5,116.4,173.3,5.44
Pulses,Tamil Nadu,Kharif,4.67,845.8,27.7,64.4,6.65,123.4,65.7,67.1,141.3,1.87
Cotton,Maharashtra,Rabi,5.38,1070.0,29.8,48.7,6.32,89.3,26.1,96.1,171.8,2.42
Maize,Maharashtra,Kharif,5.38,686.9,15.0,65.6,6.46,122.2,58.7,97.9,212.3,5.05
Rice,Andhra Pradesh,Kharif,1.31,1344.8,15.0,63.0,6.33,137.2,20.8,98.2,188.2,4.52
Rice,Karnataka,Zaid,3.14,884.6,,58.1,6.05,156.3,52.5,89.3,153.3,4.3
Pulses,Karnataka,Zaid,1.99,496.3,18.3,56.9,6.36,132.4,64.7,72.4,222.8,1.47
